id,ru,en,fr,it,de,ja,ko,pt-PT,zh-CN,zh-TC,es,notes
item_collar,ошейник,collar,,,,首輪,,,,,,"Оковы, годами сдерживавшие силу Леона; Джо их сломал. Сквозной образ рабства - «сидеть на цепи, как послушной зверюшке». Переводить как ошейник животного, не как воротник."
item_flask,колба,vial,,,,薬瓶。,,,,,,"Лабораторный сосуд, в котором держат дзинко для опытов; Леон находит разбитую колбу там, где искал Аки. РАЗНОЧТЕНИЕ: vial и flask для одного предмета - выбрать одно."
item_kibishi_fukku,Кибиши Фукку,Kibishi Fuku,Kibishi Fuku,Kibishi Fuku,Kibishi Fuku,キビシ・フク,,Kibishi Fuku,,,Kibishi Fuku,"Продукт, который партиями производят на шахтах из инугами и мертвяков; что это - в исходнике не раскрыто. Транслитерировать как японское название, не переводить."
item_jade,Нефрит,Jade,Jade,Giada,Jade,ジェイド？,옥,Jade,玉？,玉？,¿Jade,"Камень, добываемый в шахтах; нефритовый - цвет спокойного ци. Тот же корень в «нефритовые кости» и «нефритовый угорь»: держать одно слово во всех трёх."
item_jade_dice,нефритовые кости,jade dice,,,,翡翠のサイコロ,,,,,,"Игра стражи в кости, на которой Guard_Ray проигрался. Рядом идёт «глаза змеи» / snake eyes - выпадение двух единиц; это каламбур на прозвище Рея «змееныш», в переводе желательно сохранить связку."
item_jade_eel,нефритовый угорь,,,,,,,,,,,"Ингредиент для «божественного рамена», задание Мотоки. Перекликается с именем рыбака Унаги (яп. «угорь»). Перевода в исходнике нет."
item_sake,саке,sake,saké,sake,Sake,日本酒,사케,saquê,清酒,清酒,sake,Рисовое вино; штрафная стопка в игре стражи в кости. Транслитерировать по традиции языка. НЕ ПУТАТЬ с персонажем Саки (Saki) из чайного домика.
item_quinine,хинин,quinine,quinine,chinino,Chinin,キニーネ,퀴닌,quinina,奎宁,奎寧,quinina,"Лекарство в аптечке Рея, которым он отпаивает стражу от похмелья. Реальный медицинский термин, переводить точно."
item_ramen,рамен,ramen,,,,,,,,,,"Блюдо Мотоки, которое Леон пробует впервые в жизни - сцена важна для его характера. Транслитерировать по традиции языка. Однокоренное «раменная» - заведение. Перевода в исходнике нет."
item_shiitake,шиитаке,shiitake,,,,,,,,,,"Грибы, которые Мотоки пересчитывает и стережёт; шутка строится на том, что Леон впервые слышит это слово. Транслитерировать по традиции языка. Перевода в исходнике нет."
item_geisha,гейша,geisha,geisha,geisha,Geisha,芸者,게이샤,geisha,艺伎,藝伎,geisha,Профессия Хины из чайного домика. Транслитерировать по устоявшейся традиции языка.
item_kimono,кимоно,,,,,,,,,,,"Одежда Рея, в которой он прячет змеиную фигурку. ВНИМАНИЕ: в исходнике в английской ячейке этой строки вместо перевода стоит рабочая заметка на русском («Добавить в MINES и нарисовать») - строку нужно перевести с нуля."
item_ritual_oil,ритуальное масло,,ritual oil,,,,,,,,,"Один из трёх предметов для ритуала связи с мёртвыми (колокольчик, маска демона, ритуальное масло); нужно, чтобы возжечь благовония. Переводить смыслом. В исходнике строка не переведена ни на один язык."
item_demon_mask,маска демона,demon mask,,,,,,,,,,"Предмет для ритуала, открывающий дорогу в мир духов. Переводить смыслом. В исходнике строка не переведена; английская форма восстановлена по смыслу и требует проверки."
item_bell,колокольчик,bell,,,,,,,,,,"Ритуальный колокольчик монахов, один из трёх предметов для обряда; его крадёт ворон. Отличать от «священные колокола» и «колокол» храма - это разные предметы, уменьшительность важна."
item_sacred_bells,священные колокола,sacred bells,,,,,,,,,,"Большие колокола храма, которые монахи запрещают трогать; отдельно есть задача «заткнуть этот колокол». Отличать от ритуального колокольчика."
item_warden_key,ключ Главного Надзирателя,Chief Warden's key,clé du chef des gardiens,chiave del Capo Guardiano,Schlüssel des Oberaufsehers,看守長の鍵,수감소장의 열쇠,chave do Chefe de Segurança,首席看守的钥匙,總監的鑰匙,llave del jefe de guardias,"Ключевой предмет уровня «Шахты Ивамото», открывает лифт наверх. Встречается и просто как «Ключ». Тот же предмет Леон зовёт «ключ от лифта» - в переводе желательно, чтобы связь между двумя названиями читалась."
item_elevator_key,ключ от лифта,elevator key,,,,エレベーターの鍵,,,,,,"То же, что ключ Главного Надзирателя, в речи Леона и в тексте цели «Найти ключ от лифта». Держать согласованным с названием предмета у Рея."
item_dynamite,динамит,dynamite,,,,ダイナマイト,,,,,,Взрывчатка для подрыва несущих колонн; вокруг неё вся финальная задача уровня со счётчиком «Остался ещё 1». Термин повторяется в целях и системных сообщениях - переводить одинаково везде. Синоним в тексте - «взрывчатка».
item_detonator,детонатор,detonator,,,,起爆装置,,,,,,"Устройство, которым подрывают колонны и затапливают шахты лавой. РАЗНОЧТЕНИЕ в японском: 起爆スイッチ и 起爆装置 - выбрать одно."
item_support_columns,несущие колонны,support columns,,,,支柱,,,,,,"Три колонны, подрыв которых обрушивает лаву в шахты; на них нанесены метки для закладки динамита. Строительный термин, переводить точно."
item_qi_dispenser,Диспенсер ЦИ,Qi Dispenser,,,,気ディスペンサー,,,,,,"Объект на уровне, из которого Леон выбивает ци ударами. Термин из обучающей подсказки, должен совпадать во всех подсказках."
item_qi_vessel,сосуд с концентрированной энергией ЦИ,vessel containing concentrated Qi energy,,,,,,,,,,"Ёмкость с запасённой ци, которую делают инженеры Империи; альтернативный источник ресурса. Термин из обучения Сэри-Молнии."
item_figurine,фигурка,figurine,,,,,,,,,,"Змеиная фигурка Рея, которую он прячет в кимоно и очень ей дорожит; её крадёт ворон - завязка мини-квеста."
item_potion,зелье,potion,,,,ポーション,,,,,,"Лекарства, которые Рей варит на шахтах; тем же словом назван авамори. В игровом смысле - расходник восстановления здоровья."
lore_ritual,ритуал,ritual,,,,儀式,,,,,,"Обряд связи с мёртвыми, который проводит Джо, собрав три предмета; также «священный ритуал», ради которого дзинко везли в Империю. Переводить смыслом."
lore_seal,печать,seal,,,,,,,,,,"Магическая печать, которой становится тело Светоча, чтобы закрыть дорогу демонам. ОСТОРОЖНО с омонимией: это оттиск-запечатывание, не животное и не штамп."
lore_flock,паства,flock,,,,,,,,,,"Последователи культа Бога Смерти в устах их вождя. Религиозная лексика, сохранять церковный оттенок."
lore_neophyte,Неофит,Neophyte,,,,,,,,,,Обращение к новичку внутри культа. Религиозная лексика. В исходнике английский перевод этой строки отсутствует.
lore_mass,Месса,Mass,,,,,,,,,,"Служба культа («Месса скоро начнется»). Религиозная лексика, сохранять церковный оттенок."
lore_monk,Монах,monk,,,,,,,,,,"Служители культа в горном храме, а также странствующий предсказатель, сломавший судьбу Юсэи. Религиозная лексика."
lore_cultist,культисты,cultists,,,,,,,,,,Как имперские солдаты называют монахов - пренебрежительно («настоящие психи»). Сохранять негативный оттенок; сам культ в тексте назван «культ».
lore_sectarian,сектанты,cult members,,,,,,,,,,Как Павваро называет культ в приказе. Уничижительно-канцелярское слово в устах командира.
lore_guard,стража,guards,,,,,,,,,,"Охрана шахт и поместья, массовые противники. В исходнике вперемешку «стража», «стражники», «охрана», «охранники» - в переводе желательно свести к одному-двум словам."
lore_miner,шахтеры,miners,,,,,,,,,,Пленные нелюди на работах в шахтах; Леон освобождает их из клеток. В русском тексте слово встречается один раз и написано капсом без ё.
lore_prophecy,пророчество,prophecy,,,,,,,,,,"Предсказание монаха о том, что Юсэи погубит тысячи - завязка всей истории храма. Связанное выражение - «предсказать судьбу»."
lore_ancestor,предок,ancestor,,,,,,,,,,"Духи предков Леона, которые передают ему способности: Сэри-Молния даёт Электроудар, Кай - точный удар. Механически это учителя приёмов, а не просто родня."
lore_spirit_world,мир духов,spirit world,,,,,,,,,,Куда открывает дорогу маска демона. Рядом «мир мертвых» - согласовать оба выражения. В исходнике строка не переведена; английская форма восстановлена по смыслу.
lore_magic_barrier,магический барьер,magical barrier,,,,,,,,,,"Усиленные полы и стены, которые нельзя пробить кулаками - только умением, тратящим ци. Игровая механика-препятствие; в подсказках то же называется «усиленные стены»."
mech_finisher,Добивание,Finisher,Finisseur,Finisher,Finisher,フィニッシャー,피니셔,Finisher,终结技,終結技,Finalizador,"Приём: добить мигающего противника и восстановить ячейку здоровья. Термин UI - есть в списке приёмов, в привязках клавиш и во всплывающей подсказке; во всех трёх местах должен звучать одинаково. РАЗНОЧТЕНИЕ: Finisher и «Finish move!». Отглагольное существительное, не глагол."
mech_dash,Рывок,Dash,Dash,Scatto,Dash,ダッシュ,대시,Dash,冲刺,衝刺,Esquivar,"Приём: рывок вперёд, преодолевает препятствия и урон, а рывком сквозь врага в момент атаки делается паррирование. Термин UI. РАЗНОЧТЕНИЕ: в одних строках DASH, в других переведено смыслом (jerk, feinte, Ruck, ESCAPADA, SALTO, SPRUNG) - в подсказках управления название приёма должно совпадать с привязкой клавиш, иначе игрок не поймёт."
mech_double_dash,Двойной рывок,double dash,,,,,,,,,,"Приём: в воздухе дважды нажать рывок. Термин UI, производный от «Рывок» - связь должна читаться."
mech_jump,Прыжок,Jump,Sauter,Salto,Springen,ジャンプ,점프,Salto,跳跃,跳躍,Saltar,Приём и привязка клавиши. Термин UI.
mech_walljump,Прыжок от стены,Jump from the wall,,,,,,,,,,Приём: оттолкнуться от стены. Термин UI. В исходнике строка склеена с пометкой «(на стене)» через перенос строки - перенос сохранять. ВНИМАНИЕ: японский перевод («壁から降りる» - слезть со стены) искажает смысл.
mech_jumpkick,Удар в прыжке,Jump Kick,,,,,,,,,,Приём: удар в воздухе. Термин UI. В исходнике склеен с пометкой «(в воздухе)» через перенос строки.
mech_heavy_kick,Пинок,Heavy Kick,Coup de pied puissant,Calcio potente,Starker Tritt,重キック,강력한 킥,Pontapé forte,重踢,重踢,Patada fuerte,Приём из списка приёмов. Термин UI.
mech_attack,Атака,Attack,Attaquer,Attacco,Angreifen,攻撃,공격,Ataque,攻击,攻擊,Atacar,"Базовое действие и привязка клавиши. Термин UI. В исходнике строка начинается с « - » - дефис относится к иконке клавиши, его сохранять."
mech_light_attack,Лёгкий удар,Light Attack,Attaque légère,Attacco leggero,Leichter Angriff,弱攻撃,약공격,Ataque leve,轻攻击,輕攻擊,Ataque ligero,"Приём и привязка клавиши. РАЗНОЧТЕНИЕ: в привязках «Лёгкий удар» / Light Attack, в списке приёмов «Легкий удар» (без ё) / Light Melee - это один и тот же приём, свести к одному названию. Парный термин - «Тяжёлый удар». В подсказках он же зовётся «слабый удар»."
mech_heavy_attack,Тяжёлый удар,Heavy Attack,Attaque lourde,Attacco pesante,Schwerer Angriff,強攻撃,강공격,Ataque pesado,重攻击,重攻擊,Ataque pesado,"Приём и привязка клавиши. РАЗНОЧТЕНИЕ: «Тяжёлый удар» / Heavy Attack и «Тяжелый удар» (без ё) / Heavy Melee - один приём, свести к одному. В подсказках он же «сильный удар». Парный термин - «Лёгкий удар»."
mech_weak_strike,Слабый удар,weak strike,,,,,,,,,,Он же «Лёгкий удар»: поражает максимум 3 врагов. Разнобой названий одного приёма в подсказках - при переводе желательно унифицировать с «Лёгкий удар».
mech_strong_strike,сильный удар,heavy attack,,,,重い攻撃。,,,,,,"Он же «Тяжёлый удар»: без ограничения по числу врагов, запускает камикадзе. Унифицировать с «Тяжёлый удар»."
mech_uppercut,Апперкот,Uppercut,Uppercut,Uppercut,Uppercut,アッパーカット,어퍼컷,Uppercut,上勾拳,上勾拳,Uppercut,"Приём из списка приёмов. Боксёрский термин, переводить устоявшимся словом."
mech_downstrike,Удар вниз,Tail-cut,Coup de queue,Colpo di coda,Tail-Cut,テールカット,꼬리 베기,Golpe de cauda,尾击,尾部斬擊,Corte con la cola,"Приём из списка приёмов - удар сверху вниз. ВНИМАНИЕ: английское Tail-cut не соответствует русскому «Удар вниз» по смыслу; проверить, что верно, прежде чем переводить с английского."
mech_sword_throw,Бросок меча,Sword Throw,Lancer l'épée,Lancio della spada,Schwert werfen,剣投げ,검 던지기,Arremesso de espada,投掷剑,投擲長劍,Lanzar espada,"Приём: бросок меча, можно целиться с зажатой кнопкой; удар по летящему мечу тоже запускает бросок. Термин UI."
mech_parry_projectile,Отражение снаряда,Parry,Parer,Parata,Parieren,回避,막기,Defesa,格挡,格擋,Parar,"Приём: отбить снаряд противника обратно в него. Термин UI. Совпадает по английскому названию с «Паррирование» - решить, один это термин или два."
mech_parry,Паррирование,Parry,Parade,Parata,Parieren,パリー,패리,Parry,格挡,格擋,Parada,Механика: рывок сквозь врага в момент атаки замораживает его и повышает урон. Термин UI. Пересекается с «Отражение снаряда» - в английском оба Parry.
mech_combo,Комбо,Combo,Combo,Combo,Kombination,コンボ,연타,Combos,连击：,連擊：,Combo,"Серия ударов подряд; выводится в статистике уровня. Сильные и слабые удары комбинируются. Термин UI, транслитерировать по традиции языка."
mech_heavy_combo,Сильное комбо,Heavy combo,Combo puissant,Combo potente,Kraftvolle Kombination,強力なコンボだ：,강력 콤보,Combinação pesada,重连击：,重連擊：,Combo potente,Комбо из сильных ударов; ломает копьё копейщику. Термин UI. В исходнике строка заканчивается двоеточием - двоеточие сохранять.
mech_combo_multiplier,Множитель комбо,combo counter,,,,,,,,,,"Счётчик комбо: когда горит красным, доступно добивание. РАЗНОЧТЕНИЕ: в русском «множитель», в английском counter (счётчик) - это разные вещи, уточнить. ВНИМАНИЕ: в одной строке английский перевод вообще не о том - вместо описания множителя там сказано про восстановление здоровья."
mech_electric_slam,Электроудар,Electric Slam,Slam électrique,Slam elettrico,Electric Slam,エレクトリック・スラム,전기 슬램,Golpe elétrico,电击摔,電擊摔,Golpe eléctrico,"Способность, полученная от Сэри-Молнии; тратит ци, пробивает магические барьеры и усиленные стены, бьёт по группе. Она же «сила ПАДАЮЩЕГО НЕБА». Термин UI, встречается и капсом. РАЗНОЧТЕНИЕ: Electric Slam, Electro Slam, ELECTRIC SLAM, «Электроудар» с прописной и строчной - свести к одному."
mech_air_slash,Воздушный разрез,Air Slash,Coup dans les airs,Taglio aereo,Air-Slash,エアスラッシュ,공중 베기,Corte aéreo,空中斩,空中斬擊,Corte aéreo,"Способность: тратит ци, пробивает усиленные стены и бьёт по группе. В тексте сокращается до «Разрез». РАЗНОЧТЕНИЕ: Air Slash, Air-Slash, просто Slash - свести к одному."
mech_qi_pistol,Ци-пистолет,Qi-pistol,Pistolet Qi,Pistola Qi,Qi-Pistole,気ピストル,기 권총,Pistola de Qi,气枪,氣槍,Pistola de Qi,"Способность из списка приёмов. Составной термин с «Ци» через дефис - сохранять связь с остальными ци-терминами (Ци-броня, Сфера Ци, Диспенсер ЦИ)."
mech_black_hole,Черная дыра,Black Hole,Trou noir,Buco nero,Schwarzes Loch,ブラックホール,블랙홀,Buraco negro,黑洞,黑洞,Agujero negro,"Способность из списка приёмов, выдаётся у статуи. В русском написано без ё."
mech_falling_sky,Падающее Небо,FALLING SKY,,,,,,,,,,"Родовое название Электроудара у предков дзинко; Сэри-Молния произносит его торжественно, Леон высмеивает как «тупое название» - контраст высокого и сниженного стиля должен сохраниться. ВНИМАНИЕ: в японском переводе оставлено латиницей FALLING SKY, хотя реплика построена на том, что название звучит выспренне."
mech_precise_strike,точный удар,strike with precision,,,,,,,,,,"Способность, которой учит предок Кай: снайперский выстрел вместо размашистой драки («иногда достаточно пальца»). Термин пока не оформлен как название приёма в UI - при появлении в интерфейсе согласовать."
mech_spell,Заклинание,Spell,Sort,Magia,Zauber,スペル,주문,Feitiço,法术,法術,Hechizo,Привязка клавиши для магии. Термин UI.
mech_special,Особый,Special,Spécial,Speciale,Spezial,スペシャル,스페셜,Especial,特殊技,特殊技,Especial,"Привязка клавиши особого приёма. Термин UI, прилагательное в роли существительного - в языках с родом согласовать с подразумеваемым «удар/приём»."
mech_taunt,Провокация,Taunt,Provocation,Sfida,Spott,挑発,도발,Provocação,嘲讽,嘲諷,Provocación,Привязка клавиши насмешки над врагом. Термин UI.
mech_interact,Взаимодействие,Interact,Interagir,Interagisci,Interagieren,インタラクト,상호작용,Interagir,交互,互動,Interactuar,Привязка клавиши действия с объектом. Термин UI.
mech_moveset,Список приемов,Moveset list,Liste des coups,Elenco delle mosse,Liste der Movesets,技一覧,기술 목록,Lista de movimentos,招式列表,招式列表,Lista de movimientos,Экран со всеми приёмами Леона. Термин UI. В русском без ё.
mech_new_ability,Новая способность,New Ability,Nouvelle capacité,Nuova abilità,Neue Fähigkeit,新しい能力,새로운 능력,Nova habilidade,新技能,新能力,Nueva habilidad,"Сообщение о получении приёма. Термин UI, в исходнике встречается и как «Халявная способность!» в реплике."
mech_qi_armor,Ци-броня,Qi Armor,Qi Armor,Qi Armor,Qi-Rüstung,チー・アーマー,치 아머,Qi Armor,气甲,氣甲,Qi Armor,"Броня противника, которую нельзя пробить обычными ударами - только ци-приёмами. Составной термин с «Ци». РАЗНОЧТЕНИЕ регистра: Ци-броня, ЦИ-броня, QI armor, Qi Armor."
mech_qi_sphere,Сфера Ци,Qi Sphere,Qi Sphere,Qi Sphere,Qi-Kugel,チー・スフィア,치 스피어,Qi Sphere,气球,氣球,Qi Sphere,Объект: удар по сфере в воздухе даёт дальний прыжок. Составной термин с «Ци».
mech_armor,броня,armor,,,,,,,,,,"Усиление противника, снимается только уроном от умения. Игровой термин из обучающей подсказки; тесно связан с «Ци-броня» и «щит» - в одной подсказке все три слова обозначают одно и то же, при переводе не размножать синонимы."
mech_shield,щит,shield,,,,,,,,,,Защита противника; с щитов можно копить ци. В подсказках то же называется бронёй и аурой - свести к одному термину.
mech_ability,умение,ability,,,,,,,,,,"Общее слово для приёмов, тратящих ци. В исходнике вперемешку с «способность» и «приём» - в переводе желательно закрепить одно слово за игровым понятием."
mech_trap,капкан,trap,,,,,,,,,,"Ловушка на уровне, обходится рывком. В тексте также «ловушка» - согласовать."
mech_health_cell,ячейка здоровья,health cell,,,,,,,,,,"Единица шкалы здоровья Леона; восстанавливается добиванием. Игровой термин, переводить единообразно со шкалой здоровья."
mech_max_health,макс. здоровье,max HP,,,,,,,,,,"Прибавка от повышения характеристики. Сокращение «макс.» в русском - в переводе использовать принятое в языке сокращение и не разворачивать в полное слово, место в UI ограничено."
mech_max_ci,макс. ци,max QI,,,,,,,,,,"Прибавка к запасу ци от повышения. ВНИМАНИЕ: японский перевод этой строки говорит про MP (最大MPが5増加), хотя термин игры - ци, а не мана."
mech_upgrade,Повышение,Upgrade,Amélioration,Potenziamento,Verbesserung,強化,업그레이드,Aumento,提升,提升,Subida,"Улучшение характеристики за собранные предметы. Термин UI. Рядом строки «До повышения», «осталось», «Повышена [хар-ка]!» - плейсхолдер [хар-ка] не переводить как текст."
mech_item,предмет,item,,,,,,,,,,"Собираемый объект, даёт повышение характеристик. Термин UI: «Найден предмет», «Предметы собраны»."
mech_objective,цель,objective,,,,,,,,,,"Задача уровня в списке целей. Термин UI: «Цели:», «Новая цель:». ВНИМАНИЕ: в исходнике английский вариант скачет между Objectives и New goal - свести к одному слову."
mech_level_passed,Уровень пройден,Level Passed,Niveau terminé,Livello superato,Level bestanden,ステージクリア。,레벨 클리어,Nível concluído,关卡已通关。,關卡已通關。,Nivel superado,Сообщение об окончании уровня. Термин UI.
mech_rank,Ранг,Rank,Classement,Posizione in classifica,Rang,ランク,순위,Classificação,排名：,排名：,Clasificación,"Оценка за уровень в экране статистики. Термин UI, в исходнике с двоеточием."
mech_score,Очки,Scores,Scores,Punteggi,Punktestand,スコア,점수,Pontuação,分数：,分數：,Puntuaciones,"Счёт за уровень в экране статистики. Термин UI, в исходнике с двоеточием. ВНИМАНИЕ: английское Scores во множественном при русском «Очки» - в интерфейсе это одно число, проверить число."
mech_deaths,Смертей,Deaths,Décès,Morti,Todesfälle,死亡回数,사망 횟수,Mortes,死亡次数：,死亡次數：,Muertes,"Счётчик смертей в экране статистики. Термин UI, русская форма - родительный множественного после числа."
mech_time,Время,Time,Temps,Tempo,Zeit,タイム,소요 시간,Tempo,时间：,時間：,Tiempo,Время прохождения в экране статистики. Термин UI.
mech_fever_mode,Режим Лихорадка,Fever Mode,,,,フィーバーモード,,,,,,"Дополнительный режим: пройти пролог за ограниченное время. Название режима, переводить смыслом; «Лихорадка» - имя режима, а не медицинский диагноз."
diff_standard,СТАНДАРТ,STANDARD,,,,スタンダード,,,,,,"Уровень сложности для знакомых с жанром экшен-игр. Пишется капсом, регистр сохранять."
diff_kira,КИРА,KIRA,,,,キラ,,,,,,"Уровень сложности для опытных игроков: отключено восстановление здоровья. Японское слово, транслитерировать, не переводить смыслом. Капс сохранять."
diff_akuma,АКУМА,AKUMA,,,,アクマ,,,,,,"Максимальная сложность: авамори почти не лечит, нет контрольных точек. Японское «акума» - демон; транслитерировать, не переводить. Капс сохранять."
mech_difficulty,Выбор сложности,Select difficulty,,,,難易度を選択する,,,,,,Заголовок экрана выбора сложности. Термин UI.
mech_checkpoint,контрольная точка,control point,,,,,,,,,,"Точка сохранения прогресса; на сложности АКУМА их нет. ВНИМАНИЕ: английское control point - неудачная калька, в играх принято checkpoint; проверить перед переводом на другие языки."
mech_statue,статуя,statue,,,,,,,,,,"Статуя дзинко, у которой Леон получает новые способности («Дзинко из далёких земель. Даруем тебе новую силу»). Также священные манекены и зловещая статуя в храме - разные объекты, не смешивать."
nick_snake_boy,змееныш,snake-boy,Snake-Boy,ragazzo-serpente,Schlangenjunge,ヘビ野郎,뱀 소년,garoto-cobra,蛇小子,蛇小子,chico serpiente,"Издевательское обращение стражника Guard_Ray к Рею-наге. Уменьшительно-презрительная форма от «змея», сохранять и змеиную образность, и оскорбительность. Выделено разметкой [color=blue] - теги не переводить и не переставлять. В одном ряду с «змеюка», «змей», «ящерица»."
nick_snake_face,змеюка,snake-face,snake-face,faccia da serpente,Schlangengesicht,ヘビ野郎,뱀 얼굴,cara-de-cobra,蛇脸,蛇臉,cara de serpiente,Грубый вариант того же обращения к Рею. Сохранять змеиную образность и грубость.
nick_snake,змей,snake,,,,,,,,,,"Как Леон зовёт Рея, когда язвит. Мягче, чем «змееныш» и «змеюка», но всё равно свысока."
nick_lizard,ящерица,lizard,,,,,,,,,,"Как Леон зовёт Рея. ВАЖНО: обращение обидно именно тем, что нага - змея, а не ящерица; ошибка намеренная, сохранять её, а не исправлять на «змею»."
nick_fox,лис,fox,,,,フォックスめ,,,,,,"Сквозное обращение к Леону от всех подряд - от ласкового до злобного. Мужской род; не «лиса». Пишется и со строчной, и капсом (ЛИС!) - регистр сохранять."
nick_lisyonok,лисёнок,little fox,,,,,,,,,,"Ласково-снисходительное обращение к Леону: у Джо - с издёвкой, у девушек чайного домика - умилённо. Сохранять уменьшительность."
nick_redhead,Рыжий,Redhead,,,,,,,,,,"Обращение к Леону по цвету шерсти; в демо обыгрывается тем, что рыжий кот рядом никого не раздражает. Переводить по цвету волос/шерсти."
nick_tailed,хвостатый,tailed one,,,,,,,,,,"Пренебрежительное обозначение Леона по хвосту, в устах стражи и Кумы. Прилагательное в роли существительного, мужской род."
nick_tailed_scum,хвостатая мразь,mangy tailed rat,rat à la queue galeuse,ratto rognoso dalla coda lunga,räudige Schwanzratte,みすぼらしい尻尾のネズミめ,지저분한 꼬리 달린 쥐새끼야,rato sarnento de cauda longa,肮脏的尾巴老鼠,膩人的尾巴老鼠,rata sarnosa de cola larga,Грубое оскорбление Рея от стражника. Выделено [color=red]. РАЗНОЧТЕНИЕ: mangy tailed rat и mangy tailed prick - выбрать один вариант с учётом возрастного рейтинга.
nick_fox_bastard,лисий ублюдок,fox bastard,sale renard,bastardo di volpe,Fuchs-Bastard,狐のクソ野郎,여우 새끼야,raposa desgraçada,狐狸杂种,狐狸混蛋,zorro bastardo,Грубое оскорбление Леона от стражника. Выделено [color=red]. Сохранять лисью образность и площадную грубость.
nick_jinko_spawn,дзинково отродье,jinko spawn,,,,,,,,,,"Оскорбление Леона от ёкая в храме. ВНИМАНИЕ: в исходнике английский перевод «zinc-headed scum» ошибочен - переводчик принял «дзинко» за металл цинк. Переводить как «отродье дзинко», сохраняя название расы."
nick_mangy_inhuman,нелюдь вшивый,mangy inhuman,,,,,,,,,,Оскорбление Леона от Главного Надзирателя; строится на ключевом термине «нелюдь». Переводить согласованно с термином «Нелюди».
nick_scum,мразь,scum,,,,,,,,,,"Ругательство, которым сыплют и Леон, и стража. Сильная брань, не смягчать."
nick_freak,урод,freak,monstre,mostro,Freak,変態,괴물아,aberração,怪胎,怪胎,monstruo,"Ругательство в обе стороны: стража к нелюдям, Леон к стражникам. Выделено [color=red]. Часто во множественном - «уроды»."
nick_headcase,поехавший,headcase,,,,,,,,,,"Как Леон зовёт Рея за веру в свободную страну - «поехавший», то есть сумасшедший. Сниженный регистр, не медицинский термин."
nick_spider,Паук,Spider,,,,,,,,,,"Как Леон зовёт Джо - и как обозначение расы Джо и Хадзуо («все пауки такие?», «хранители знаний»). Пишется и с прописной как обращение, и со строчной."
nick_imperial_mongrel,Имперская шавка,imperial mongrel,,,,,,,,,,Оскорбление Леона от культистов: обвинение в службе Империи. Сохранять собачью образность - она обидна вдвойне для лиса.
nick_nedobitok,недобиток,weakling,,,,,,,,,,"Оскорбление Леона от ёкаев: «мы вырезали твой род, а ты недобиток» - то есть уцелевший, которого не успели добить. ВНИМАНИЕ: английское weakling («слабак») теряет этот смысл; переводить как «выживший, которого не дорезали»."
nick_master,Хозяин,Master,,,,,,,,,,"Как называют главу семьи Маста слуги и Джо; Леон произносит это слово с ненавистью («Ты этого не увидишь...хозяин»). Пишется и с прописной, и со строчной. Рифмуется с именем Маста - связь желательно сохранить."
nick_sir,Господин,Sir,,,,,,,,,,"Обращение солдат к Павваро и стражи к начальству. Уставное обращение, переводить принятой в языке военной формой."
nick_brother,братишка,brother,,,,,,,,,,Как шахтёр-инугами зовёт Леона: «все нелюди братья под гнётом Империи». Леон обращение отвергает. Сохранять фамильярную теплоту.
nick_child,дитя,child,,,,,,,,,,"Как Сэри-Молния обращается к Леону - по-стариковски, покровительственно. РАЗНОЧТЕНИЕ: child и kid вперемешку; «дитя» звучит архаично, английское kid этот оттенок теряет."
nick_little_one,мелочь,little pest,,,,,,,,,,Пренебрежительное обращение Кумы к Леону по росту. Не переводить как «мелкая монета» - это про размер противника.
nick_dog,пес,dog,CHIEN,CANE,HUND,犬,개자식,CÃO,狗,狗,PERRO,"Оскорбление Леона от Главного Надзирателя; Леон в ответ поправляет: «Я лис, слепошара». Каламбур на путанице пса и лиса, его надо сохранить. В исходнике написано капсом и без ё - ПЕС."
nick_beast,зверь,beast,,,,,,,,,,"Как люди говорят о Леоне и о Пудже - «возьмите зверя», «ну ты и зверь». Обесчеловечивающее слово, ключевое для темы рабства."
nick_worm,червяк,worm,,,,,,,,,,"Как Леон подкалывает Рея, когда того утаскивают в гнездо; позже он же его защищает: «Он вам не ЧЕРВЯК». Обе строки должны переводиться одним словом, иначе шутка рассыпается."
