context	ru	de	en	es	fr	it	ja	ko	zh_Hans	zh_Hant
hub1_teahouse_1_21	Доставь это послание нашему человеку в Нижнем Городе…	Überbringen Sie diese Nachricht unserem Mann in der Unterstadt…	Deliver this message to our contact in the Lower City…	Entregad este mensaje a nuestro contacto en la Ciudad Baja…	Remets ce message à notre contact dans la Ville Basse…	Consegna questo messaggio al nostro uomo nella Città Bassa…	この手紙を下町の者へ届けてください…	이 편지를 하부 도시에 있는 우리 사람에게 전해주세요…	把这封信送到下城区我们的人手里……	把這封信送到我們在下城區的人那裡……
hub1_teahouse_1_22	И он даст тебе ключ от туннелей под городом.	Und er gibt dir den Schlüssel zu den Tunneln unter der Stadt.	And he'll give you the key to the tunnels under the city.	Y él te dará la llave de los túneles bajo la ciudad.	Et il te donnera la clé des tunnels sous la ville.	E ti darà la chiave per i tunnel sotto la città.	そして奴が街の地下トンネルへの鍵を渡すだろう。	그가 너에게 도시 아래 터널 열쇠를 줄 거야.	他会给你通往城市地下隧道的钥匙。	他會給你通往城下隧道的鑰匙。
hub1_teahouse_1_23	Там можно попасть в Архив.	Dort kommst du ins Archiv.	You can get to the Archives there.	Allí podrás acceder a los Archivos.	Tu pourras y accéder aux Archives.	Lì potrai accedere agli Archivi.	そこから書庫へ行ける。	거기서 기록 보관소에 들어갈 수 있어.	从那里可以进入档案馆。	在那裡你可以進入檔案館。
hub1_teahouse_1_24	Сделка?	Ein Geschäft?	Deal?	¿Trato hecho?	Marché conclu ?	Affare fatto?	取引か？	거래할까?	成交？	成交？
hub1_teahouse_1_25	Уговор.	Abgemacht.	Deal.	Trato.	Marché conclu.	Affare fatto.	決まりだ。	그렇게 하자.	一言为定。	說定了。
hub1_teahouse_1_26	Леон, ты с ума сошел? Как ты проберешься через Нижний город?	Leon, bist du verrückt geworden? Wie willst du durch die Unterstadt kommen?	Leon, have you lost your mind? How will you get through the Lower City?	Leon, ¿te has vuelto loco? ¿Cómo vas a cruzar la Ciudad Baja?	Leon, tu es fou ? Comment vas-tu traverser la Ville Basse ?	Leon, sei impazzito? Come farai ad attraversare la Città Bassa?	レオン、正気か？どうやって下町を通り抜けるつもりだ？	레온, 너 미쳤어? 어떻게 하부 도시를 통과할 건데?	莱昂，你疯了吗？你要怎么穿过下城区？	雷恩，你瘋了嗎？你要怎麼穿過下城區？
hub1_teahouse_1_27	По крышам.	Über die Dächer.	Over the rooftops.	Por los tejados.	Par les toits.	Sui tetti.	屋根伝いだ。	지붕 위로.	走屋顶。	走屋頂。
hub1_teahouse_1_28	Ой, какой самоуверенный.	Oh, wie selbstbewusst.	Oh, so confident.	Ay, qué engreído.	Oh, comme il est sûr de lui.	Oh, che presuntuoso.	まあ、自信家ね。	어머, 정말 자신만만하네.	哦，真是自信满满呢。	喔，好自信啊。
hub1_teahouse_1_29	Мне нравится.	Das gefällt mir.	I like it.	Me gusta.	J'aime bien.	Mi piace.	気に入ったわ。	마음에 들어.	我喜欢。	我喜歡。
hub1_teahouse_1_30	Мне тоже.	Mir auch.	Me too.	A mí también.	Moi aussi	Anche a me.	私もね。	나도 마음에 들어.	我也喜欢。	我也喜歡。
hub1_teahouse_1_31	Я думаю у барахольщика Хадзуо ты найдешь что-нибудь…	Ich glaube, beim Trödler Hazuo findest du etwas …	I think you'll find something at Hazuo's Thousand Trinkets Shop…	Creo que en la tienda de trastos de Hazuo encontrarás algo…	Je pense que tu trouveras quelque chose chez le brocanteur Hazuo…	Credo che dal rigattiere Hazuo troverai qualcosa…	骨董屋のハズオなら何か見つかると思う…	잡화점 주인 하즈오한테서 뭔가 찾을 수 있을 거야…	我觉得你可以在破烂王哈祖奥那里找到些东西……	我想你可以在葉月那裡找到一些東西……
hub1_teahouse_1_32	Что поможет тебе в этом пути.	Was dir auf diesem Weg helfen wird.	That which will aid you on this path.	Que te ayudará en este camino.	Ce qui t'aidera sur ce chemin.	Che ti aiuterà in questo viaggio.	この旅路でお前を助けるものじゃ。	이 여정에 도움이 될 만한 것.	这条路上有什么能帮你的。	這會幫助你完成這趟旅程。
hub1_teahouse_1_33	Что именно?	Was genau?	What exactly?	¿Qué exactamente?	Quoi donc ?	Cosa, esattamente?	具体的には何だ？	정확히 뭔데?	具体是什么？	什麼東西？
hub1_teahouse_1_34	Он же барахольщик. Какое-нибудь барахло.	Er ist ein Trödler. Irgendein Trödel.	He's a junk dealer. Some junk or other.	Es un chatarrero. Alguna baratija.	C'est un brocanteur. N'importe quelle babiole.	È un rigattiere. Qualche cianfrusaglia.	あの古物商じゃ。何かガラクタを。	잡화점 주인이야. 뭔가 잡동사니 같은 거.	他就是个收破烂的。随便什么破烂玩意儿。	他就是個收破爛的。隨便什麼破爛都行。
hub1_teahouse_1_35	Ладно, я загляну к нему.	Na gut, ich schau mal bei ihm vorbei.	Alright, I'll check him out.	De acuerdo, iré a verle.	D'accord, j'irai le voir.	Va bene, gli farò visita.	わかった、あいつを訪ねてみるぜ。	알겠어, 그 사람한테 들러볼게.	行吧，我去他那儿看看。	好吧，我會去找他。
hub1_scrappy_1_1	А, мои племяннички вернулись!	Ah, meine Neffen sind zurück!	Ah, my nephews are back!	¡Ah, mis sobrinitos han vuelto!	Ah, mes neveux sont de retour	Ah, i miei nipotini sono tornati!	おお、甥っ子たちが戻ってきたのか！	아, 내 조카들이 돌아왔구나!	啊，我的小外甥们回来啦！	啊，我的小侄子們回來了！
hub1_scrappy_1_2	В поисках знаний, или вас привела нужда?	Auf der Suche nach Wissen, oder hat euch die Not hierhergeführt?	Seekin' knowledge, or has necessity brought ya?	¿En busca de conocimiento, o la necesidad os ha traído?	En quête de savoir, ou la nécessité vous a-t-elle amenés ici ?	In cerca di conoscenza, o è la necessità che vi ha portato qui?	知識を求めてか、それとも困り事か？	지식을 찾아서, 아니면 궁핍함이 데려왔나?	是来求知的，还是有什么难处？	是為了尋求知識，還是被需要所驅使？
hub1_scrappy_1_3	Нужно что-то, чтобы по крышам пройти.	Wir brauchen etwas, um über die Dächer zu kommen.	We need somethin' to get across the rooftops.	Necesitamos algo para pasar por los tejados.	Il nous faut quelque chose pour passer par les toits.	Ci serve qualcosa per passare sui tetti.	屋根伝いに進むための何かが必要なんだ。	지붕 위를 지나갈 수 있는 게 필요해.	需要些能在屋顶上走的东西。	我們需要一些東西才能從屋頂過去。
hub1_scrappy_1_4	По крышам, говорите…	Über die Dächer, sagt ihr …	Across the rooftops, you say…	Por los tejados, decís…	Par les toits, dites-vous…	Sui tetti, dite…	屋根伝い、とな…	지붕 위를 지나간다니…	屋顶上走，你说……	從屋頂過去，你們說的……
hub1_scrappy_1_5	Ах! Это напоминает мне о мостах из бамбука времён императора Акито!	Ach! Das erinnert mich an die Bambusbrücken aus der Zeit von Kaiser Akito!	Ah! That reminds me of the bamboo bridges from Emperor Akito's time!	¡Ah! ¡Esto me recuerda a los puentes de bambú de la época del emperador Akito!	Ah ! Cela me rappelle les ponts de bambou du temps de l'empereur Akito	Ah! Questo mi ricorda i ponti di bambù dell'epoca dell'imperatore Akito!	あっ！これはアキト帝時代の竹橋を思い出すわい！	아! 이 이야기는 아키토 황제 시대의 대나무 다리를 떠올리게 하는군!	啊！这让我想起明人天皇时代的竹桥！	啊！這讓我想起了明人皇帝時代的竹橋！
hub1_scrappy_1_6	Знаете ли вы, что его войска…	Wisst ihr, dass seine Truppen …	Do you know that his troops…	¿Sabéis que sus tropas…	Savez-vous que ses troupes…	Sapete che le sue truppe…	ご存知か？あの軍隊は…	그의 군대가… 알고 계신가요?	你们可知道他的军队……	你們知道嗎，他的軍隊……
hub1_scrappy_1_7	Ты уверен, что у тебя в лавке вообще есть хоть что-то полезное?	Bist du sicher, dass du überhaupt etwas Nützliches in deinem Laden hast?	You sure you got anything useful in your shop?	¿Estás seguro de que tienes algo útil en tu tienda?	Es-tu sûr que ta boutique a quoi que ce soit d'utile ?	Sei sicuro che nel tuo negozio ci sia qualcosa di utile?	てめえの店にマジで役に立つもんがあるのかよ？	네 가게에 정말 쓸 만한 거 하나라도 있는 거 맞아?	你他妈确定你这破店里真有能用的东西？	你確定你的店裡真的有任何有用的東西嗎？
hub1_scrappy_1_8	Вот, к примеру, веер придворной дамы.	Hier zum Beispiel, der Fächer einer Hofdame.	Here, for example, is a court lady's fan.	Aquí, por ejemplo, el abanico de una dama de la corte.	Tiens, par exemple, l'éventail d'une dame de cour.	Ecco, per esempio, un ventaglio da dama di corte.	例えば、宮廷婦人の扇子じゃ。	예를 들어, 궁중 귀부인의 부채 말이지.	比如这个，宫廷贵妇的扇子。	例如，這是宮廷女士的扇子。
hub1_scrappy_1_9	Когда она убегала к любовнику, этот звук маскировал её шаги…	Als sie zu ihrem Liebhaber floh, überdeckte dieses Geräusch ihre Schritte…	When she ran off to her lover, the sound of it masked her footsteps…	Cuando huía con su amante, este sonido enmascaraba sus pasos…	Quand elle s'enfuyait avec son amant, ce son masquait ses pas…	Quando scappava dall'amante, questo suono mascherava i suoi passi…	彼女が恋人に会いに行く時、この音が足音を隠したのじゃ…	그녀가 정부에게 달아날 때, 이 소리가 발소리를 가려줬단다…	她偷情逃跑时，这声音能掩盖脚步声……	當她跑去見情人時，這個聲音掩蓋了她的腳步聲……
hub1_scrappy_1_10	Может, у тебя есть ещё бамбуковая зубочистка?	Hast du vielleicht noch einen Bambus-Zahnstocher?	Maybe you got a bamboo toothpick too?	¿Quizás también tengas un palillo de bambú?	Tu aurais aussi un cure-dent en bambou ?	Forse hai anche uno stuzzicadenti di bambù?	竹の爪楊枝とかねえのか？	대나무 이쑤시개라도 더 있냐?	你还有竹牙签吗？	也許你還有竹牙籤？
hub1_scrappy_1_11	Тоже пригодится, ага.	Der wäre auch nützlich, ja.	That'd come in handy, yeah.	También será útil, sí.	Ça me serait utile aussi, ouais.	Sarà utile anche quello, sì.	それも役に立つぜ、へっ。	그것도 쓸모 있을 거야, 그래.	那玩意儿也能派上用场，是吧。	也會派上用場，是吧。
hub1_scrappy_1_12	Хадзуо, может быть, что-то попрактичнее?	Hazuo, vielleicht etwas Praktischeres?	Hazuo, maybe somethin' more practical?	Hazuo, ¿quizás algo más práctico?	Hazuo, peut-être quelque chose de plus pratique ?	Hazuo, forse qualcosa di più pratico?	ハズオ、もう少し実用的なものはありませんか？	하즈오, 좀 더 실용적인 건 없을까요?	一夫，有没有更实用的东西？	葉月，也許來點更實用的？
hub1_scrappy_1_13	А это — маска актёра.	Und das hier ist die Maske eines Schauspielers.	And this is an actor's mask.	Y esta es la máscara de un actor.	Et ça, c'est le masque d'un acteur.	E questa è una maschera da attore.	これは役者の面じゃ。	이건 배우의 가면이야.	而这个——是演员的面具。	這是演員的面具。
hub1_scrappy_1_14	Один вор использовал её, чтобы стоять неподвижно на площади и притворяться статуей…	Ein Dieb benutzte sie, um unbeweglich auf dem Platz zu stehen und sich als Statue auszugeben…	A thief once used it to stand still in the square and pretend to be a statue…	Un ladrón la usó para quedarse inmóvil en la plaza y hacerse pasar por una estatua…	Un voleur l'utilisait pour rester immobile sur la place et faire semblant d'être une statue…	Un ladro la usava per stare immobile in piazza e fingersi una statua…	ある泥棒がこれを使って、広場でじっと立ち、像のふりをしていたのじゃ…	한 도둑이 광장에 가만히 서서 조각상인 척할 때 썼던 거지…	有个贼用它站在广场上一动不动，假装是雕像……	一個小偷用它站在廣場上一動不動，假裝是雕像……
hub1_scrappy_1_15	ВСЁ, ХВАТИТ! Мне не нужна коллекция пиздежа!	ALLES KLAR, GENUG! Ich brauche keine Scheiß-Sammlung!	THAT'S ENOUGH! I don't need a collection of bullshit!	¡YA, BASTA! ¡No necesito una colección de gilipolleces!	ÇA SUFFIT, BORDEL ! Je n'ai pas besoin d'une collection de conneries !	BASTA, ORA! Non mi serve una collezione di stronzate!	もういい！　クソどうでもいい話はたくさんだ！	됐어, 그만! 나한테 개소리 컬렉션 필요 없거든!	够了！老子不要这些垃圾收藏！	夠了，別再說了！我不需要一堆廢話！
hub1_scrappy_1_16	О! Инструмент кровельщиков.	Oh! Ein Werkzeug für Dachdecker.	Oh! A roofer's tool.	¡Oh! Una herramienta de techadores.	Oh ! Un outil de couvreur.	Oh! Uno strumento da copritetto.	おお！　屋根職人の道具じゃ。	오! 지붕 수리공의 도구군.	哦！屋顶工匠的工具。	喔！屋頂工的工具。
hub1_scrappy_1_17	С его помощью поднимали черепицу! Для тебя то, что нужно.	Damit wurden Dachziegel angehoben! Genau das Richtige für dich.	It was used to lift roof tiles! Just what you need.	¡Con esto levantaban tejas! Justo lo que necesitas.	On s’en servait pour soulever les tuiles ! C’est exactement ce qu’il te faut.	Serviva per sollevare le tegole! È proprio quello che ti serve.	これで瓦を上げたんだ！お前にはぴったりだ。	이걸로 기와를 올렸지! 너한테 딱 맞는 물건이야.	用它来撬瓦片！正适合你。	用它來搬瓦片！這對你來說正合適。
hub1_scrappy_1_18	Наконец-то. Хоть раз твой мусор оказался в тему.	Endlich. Wenigstens einmal war dein Scheiß nützlich.	Finally. For once your junk came in handy.	Por fin. Al menos una vez tu basura ha sido útil.	Enfin. Pour une fois que tes conneries sont utiles.	Finalmente. Per una volta la tua spazzatura è utile.	やっとか。お前のガラクタが役に立つなんて初めてだぜ。	드디어. 네 쓰레기가 한 번쯤은 쓸모가 있네.	终于啊。你这破烂玩意儿总算派上一次用场。	總算。你那些垃圾總算有一次派上用場了。
hub1_scrappy_1_19	Спасибо, Хадзуо.	Danke, Hazuo.	Thank you, Hazuo.	Gracias, Hazuo.	Merci, Hazuo.	Grazie, Hazuo.	ありがとう、ハズオ。	고마워요, 하즈오.	谢谢，哈祖欧。	謝謝你，葉月。
hub1_scrappy_1_20	История всегда знает, когда подоспеть.	Die Geschichte weiß immer, wann sie eingreifen muss.	History always knows when to arrive.	La historia siempre sabe cuándo llegar.	L’Histoire sait toujours quand intervenir.	La storia sa sempre quando farsi avanti.	歴史はいつだって、ちょうどいい時に現れるものさ。	역사는 언제 도움이 필요한지 항상 알고 있지.	历史总是知道何时该登场。	歷史總會知道何時該派上用場。
hub1_fisherman_quest_2_1	Малыш, а ты не видел тут рыбака?	Kleiner, hast du hier keinen Fischer gesehen?	Kid, have you seen a fisherman around here?	Pequeño, ¿no has visto a un pescador por aquí?	Petit, tu n’aurais pas vu un pêcheur par ici ?	Piccolo, hai visto un pescatore da queste parti?	坊や、ここで漁師さんを見かけなかった？	꼬마야, 여기 어부 본 적 있어?	小孩，你见过这附近的渔夫吗？	小傢伙，你有沒有看到這裡有個漁夫？
hub1_fisherman_quest_2_2	Не мешайте мне, я занят.	Stört mich nicht, ich bin beschäftigt.	Don't bother me, I'm busy.	No me molestéis, estoy ocupado.	Ne me dérangez pas, je suis occupé	Non disturbarmi, sono occupato.	邪魔しないで、忙しいんだ。	방해하지 마, 나 바빠.	别打扰我，我正忙着。	別打擾我，我很忙。
hub1_fisherman_quest_2_3	Пока не сделаю, меня не трогайте.	Solange ich es nicht geschafft habe, lasst mich in Ruhe.	Don't touch me until I'm done.	Hasta que no termine, no me toquéis.	Tant que je n’ai pas fini, ne me touchez pas.	Finché non ho finito, non toccatemi.	終わるまで、放っておいて。	내가 다 할 때까지 건들지 마.	在我做完之前，谁都别来烦我。	在我做完之前，別碰我。
hub1_fisherman_quest_2_4	И че ты делаешь?	Und was machst du?	And what're you doin'?	¿Y qué haces?	Et tu fais quoi, là ?	E che stai facendo?	で、何してんだ？	그래서 뭐 하는 건데?	那你到底在搞什么？	那你到底在做什麼？
hub1_fisherman_quest_2_5	Хочу чтобы моя лягушка допрыгала до корабля.	Ich will, dass mein Frosch zum Schiff springt.	I want my frog to hop all the way to the ship.	Quiero que mi rana salte hasta el barco.	Je veux que ma grenouille saute jusqu’au bateau.	Voglio che la mia rana salti fino alla nave.	俺のカエルがあの船まで飛びたいんだ。	내 개구리가 배까지 뛰어가게 하고 싶어.	我想让我的青蛙跳到那艘船上去。	我想讓我的青蛙跳到船上。
hub1_fisherman_quest_2_6	Дай сюда!	Gib her!	Gimme that!	¡Dámela!	Donne-moi ça !	Dammela!	よこせ！	이리 내놔!	拿来！	給我！
hub1_fisherman_quest_2_7	Я ЩАС КОМУ ТО УШИ ПООТРЫВАЮ!	ICH REIẞE JEMANDEM GLEICH DIE OHREN AB!	I'M GONNA RIP SOMEONE'S EARS OFF!	¡AHORA MISMO LE ARRANCO LAS OREJAS A ALGUIEN!	JE VAIS ARRACHER LES OREILLES À QUELQU'UN, LÀ	ORA SPACCERÒ QUALCHE TESTA!	今すぐ誰かの耳を引きちぎってやる！	누구 귀라도 뜯어버릴라!	我现在就把谁的耳朵给撕下来！	我現在就要把某人的耳朵扯下來！
hub1_fisherman_quest_2_8	Твоя лягушка в трюме. Ну че, где рыбак?	Dein Frosch ist im Laderaum. Na, wo ist der Fischer?	Your frog's in the hold. So, where's the fisherman?	Tu rana está en la bodega. ¿Y bien, dónde está el pescador?	Ta grenouille est dans la cale. Alors, il est où, le pêcheur ?	La tua rana è nella stiva. Allora, dov'è il pescatore?	お前のカエルは船倉にあるぜ。で、漁師はどこだ？	네 개구리는 선창에 있다. 그래서, 어디에 낚시꾼이 있지?	你的青蛙在货舱里。喂，渔夫在哪儿？	你的青蛙在船艙裡。那漁夫在哪？
hub1_fisherman_quest_2_9	Вау! Какой ты сильный!	Wow! Du bist so stark!	Wow! You're so strong!	¡Guau! ¡Qué fuerte eres!	Waouh ! Tu es si fort !	Wow! Sei così forte!	わあ！すごく強いんだね！	와! 정말 강하시네요!	哇！你好厉害！	哇！你真強壯！
hub1_fisherman_quest_2_10	Да, дядя Унаги как всегда пьет, наверное. В банях.	Ja, Onkel Unagi trinkt wohl wie immer. In den Bädern.	Yeah, Uncle Unagi's probably drinkin' as usual. At the bathhouse.	Sí, el tío Unagi está bebiendo como siempre, supongo. En los baños.	Oui, oncle Unagi boit comme d'habitude, sûrement. Aux Bains.	Sì, zio Unagi sta bevendo come al solito, immagino. Ai bagni.	うん、ウナギおじさんは相変わらず飲んでるよ、多分。銭湯で。	네, 우나기 아저씨는 여전히 술 마시고 계실 거예요. 아마도 목욕탕에서요.	嗯，鳗鱼叔叔大概又像往常一样在喝酒吧。在澡堂里。	是的，烏納吉叔叔大概又在喝酒了。在澡堂裡。
hub1_fisherman_quest_2_11	Меня это начинает раздражать.	Das fängt an, mich zu nerven.	This is startin' to piss me off.	Esto empieza a irritarme.	Ça commence à m'énerver.	Questo sta iniziando a infastidirmi.	こいつにはうんざりしてきたぜ。	이제 좀 짜증나기 시작하는데.	这开始让我恼火了。	這開始讓我惱火了。
hub1_fisherman_quest_2_12	Это разве не легкое задание?	Ist das nicht eine leichte Aufgabe?	Ain't this s'posed to be an easy job?	¿No es una tarea fácil?	Ce n'est pas une tâche facile, ça ?	Non è un compito facile?	これって簡単な依頼じゃないのか？	이거 쉬운 퀘스트 아니었어?	这难道不是个简单的任务吗？	這不是個簡單的任務嗎？
hub1_fisherman_quest_2_13	Спасибо, мальчик! Ты нам очень помог!	Danke, Junge! Du hast uns sehr geholfen!	Thank you, boy! You've helped us greatly!	¡Gracias, chico! ¡Nos has ayudado mucho!	Merci, petit ! Tu nous as beaucoup aidés	Grazie, ragazzo! Ci hai aiutato molto!	ありがとう、坊や！君はとても助けてくれたよ！	고마워요, 꼬마야! 정말 큰 도움이 됐어요!	谢谢你，小朋友！你帮了我们大忙！	謝謝你，孩子！你幫了我們大忙！
hub1_fisherman_quest_2_14	Идем в баню.	Gehen wir ins Bad.	Let's go to the bathhouse.	Vamos a los baños.	Allons aux Bains	Andiamo ai bagni.	銭湯へ行くぜ。	목욕탕으로 가자.	去澡堂。	我們去澡堂。
hub1_guard_1_1	Смотри!	Schau!	Look!	¡Mira!	Regarde !	Guarda!	見て！	봐요!	看！	看！
hub1_guard_1_2	За твою голову назначили награду!	Auf deinen Kopf wurde ein Kopfgeld ausgesetzt!	There's a bounty on your head!	¡Han puesto precio a tu cabeza!	Une récompense a été mise sur ta tête	C'è una taglia sulla tua testa!	お前の首に賞金がかかってる！	당신 머리에 현상금이 걸렸어요!	有人悬赏要你的脑袋！	你的頭被懸賞了！
hub1_guard_1_3	10 тысяч мон!	10 Tausend Mon!	10,000 mon!	¡10 000 mon!	10 000 mons !	10 mila mon!	1万文！	10천 몬!	一万文！	一萬文！
hub1_guard_1_4	Научись считать - ваще та 100 тысяч мон!	Lern zählen – es sind 100 Tausend Mon!	Learn to count, ya dumbass—it's 100,000 mon	¡Aprende a contar, son 100 000 mon!	Apprends à compter, c'est 100 000 mons	Impara a contare, sono 100 mila mon!	数え方を覚えろよ、てめえ、こいつは10万文だぜ！	계산 좀 배워, 씨발 10만 몬이라고!	学学数数吧——那可是十万文！	學會數數吧——那可是十萬文！
hub1_guard_1_5	Я только приехал, а уже надо ломать морды.	Kaum angekommen, muss ich schon Fressen polieren.	I just got here, and I already gotta bust some heads.	Acabo de llegar y ya tengo que romper caras.	Je viens d'arriver et je dois déjà casser des gueules.	Sono appena arrivato e già devo spaccare facce.	着いたばっかりなのに、もう顔をぶん殴らなきゃなんねえのかよ。	막 도착했는데 벌써 얼굴을 때려부숴야 하네.	我刚到这儿就得开始揍人了。	我才剛到，就得揍人了。
hub1_guard_1_6	Не-не-не, мне столько не платят, шобы я даже смотрел в твою сторону.	Nee, nee, nee, dafür werd ich nicht bezahlt, dass ich dich auch nur anseh.	Nah, nah, nah, they don't pay me enough to even look your way.	No, no, no, no me pagan tanto como para mirarte siquiera.	Non, non, non, je ne suis pas payé assez pour même te regarder.	No-no-no, non mi pagano abbastanza per guardarti anche solo.	やめろやめろ、俺がてめえの方なんか見るために払われる金じゃねえんだよ。	아니-아니-아니, 그 정도 돈 받는 거 아니면 네 쪽은 쳐다보지도 않아.	不不不，我那点工资可不包括正眼瞧你的份儿。	不不不，我沒拿那麼多錢，才不會看你一眼。
hub1_guard_1_7	Вы в баню шли? Вот и идите. Иннара в помощь.	Ihr wolltet ins Bad? Dann geht. Inara helfe euch.	You were goin' to the bathhouse? Then go. Inara be with ya.	¿Iban a los baños? Pues vayan. Inara les ayude.	Vous alliez aux bains ? Alors allez-y. Inara vous aide.	Andavate ai bagni? Allora andateci. Inara vi aiuti.	銭湯に行くんだろ？行けよ。インナラのご加護を。	목욕탕 갈 거였지? 그럼 가. 이나라의 가호가 함께하길.	你们不是要去澡堂吗？那就去呗。愿因纳拉保佑。	你們要去澡堂嗎？那就去吧。伊納拉會幫助你們的。
hub1_fisherman_quest_3_1	О, новые клиенты? Заходите, располагайтесь.	Oh, neue Kunden? Kommt rein, macht’s euch bequem.	Oh, new customers? Come on in, make yourselves at home.	¿Oh, nuevos clientes? Pasen, pónganse cómodos.	Oh, de nouveaux clients ? Entrez, installez-vous.	Oh, nuovi clienti? Entrate, mettetevi comodi.	おお、新しい客か？入ってくつろいでくれ。	오, 새 손님? 들어오세요, 편히 쉬세요.	哦，新客人？请进，随便坐。	哦，新客人？請進，請坐。
hub1_fisherman_quest_3_2	А ничего, что мы нелюди?	Ist es egal, dass wir Nichtmenschen sind?	Ain't it a problem that we're non-human?	¿Y no importa que seamos no-humanos?	Ça ne vous dérange pas qu'on soit des Non-humains ?	E non importa che siamo Non-umani?	俺たち非人だけど、いいのか？	우리가 비인간인 건 괜찮아?	我们是非人种也没关系吗？	我們是非人，這沒關係嗎？
hub1_fisherman_quest_3_3	Мне все равно шерстяной ты или кожаный.	Mir ist egal, ob du behaart oder glatt bist.	I don't care if you're furry or smooth.	Me da igual si eres peludo o de piel.	Que tu sois poilu ou à peau, je m'en fiche.	Non mi importa se sei peloso o di pelle.	毛皮だろうが革だろうが、俺には関係ねえ。	털이 많든 가죽이든 상관없어.	我才不管你是长毛的还是光皮的。	我不在乎你是毛茸茸的還是光溜溜的。
hub1_fisherman_quest_3_4	Хорошая баня нужна всем.	Ein gutes Bad braucht jeder.	A good bathhouse is for everyone.	Un buen baño es para todos.	Un bon bain, tout le monde en a besoin.	Un buon bagno serve a tutti.	いい銭湯は誰にだって必要だ。	좋은 목욕은 누구에게나 필요하니까.	谁都需要个好澡堂子。	好的澡堂人人都需要。
hub1_fisherman_quest_3_5	Да и у нас тут не такое не смотрят.	Und wir hier sind so einiges gewohnt.	And we don't judge that kinda thing here.	Además, aquí no somos de mirar esas cosas.	Et puis, on n'est pas si regardant ici.	E qui da noi non si guarda a queste cose.	それに、ここじゃそんなの気にしねえよ。	게다가 여긴 그런 거 신경 안 써.	况且我们这儿什么怪事没见过。	而且我們這裡對這種事見怪不怪了。
hub1_fisherman_quest_3_6	Мокрая шерсть воняет.	Nasses Fell stinkt.	Wet fur stinks.	El pelo mojado apesta.	La fourrure mouillée, ça pue.	Il pelo bagnato puzza.	濡れた毛は臭いぜ。	젖은 털 냄새 존나다.	湿毛臭死了。	濕漉漉的毛髮真臭。
hub1_fisherman_quest_3_7	Вот кого я не люблю, так это алкоголиков.	Wen ich nicht mag, das sind Alkoholiker.	The one thing I can't stand is drunks.	Si hay algo que no soporto, son los alcohólicos.	Ceux que je n'aime pas, ce sont les alcooliques.	Se c'è una cosa che non sopporto, sono gli alcolizzati.	俺が嫌いなのは酔っ払いだ。	내가 정말 싫어하는 건 알코올 중독자야.	我最讨厌的就是酒鬼。	我最討厭酒鬼了。
hub1_fisherman_quest_3_8	…	…	…	…	…	…	…	…	……	……
hub1_fisherman_quest_3_9	Ну да, я дал ему саке. Но кто же знал, что он так нажрется.	Na ja, ich hab ihm Sake gegeben. Aber wer konnte wissen, dass er sich so besäuft.	Well, yeah, I gave him sake. But who knew he'd get so wasted.	Bueno, sí, le di sake. Pero ¿quién iba a saber que se iba a emborrachar tanto?	Oui, je lui ai donné du saké. Mais qui aurait cru qu'il se saoulerait à ce point.	Certo, gli ho dato del sake. Ma chi avrebbe mai detto che si sarebbe ubriacato così?	ああ、俺が酒をやったんだ。だがあいつがそんなに酔うとはな。	그래, 내가 사케를 줬어. 하지만 그가 그렇게 취할 줄 누가 알았겠어.	没错，我是给了他清酒。可谁知道他会喝成这样。	嗯，我給了他清酒。但誰知道他會喝得這麼醉。
hub1_fisherman_quest_3_10	Хотя… он каждый раз так нажирается.	Obwohl… er besäuft sich jedes Mal so.	Though… he gets wasted like this every time.	Aunque… siempre se emborracha así.	Pourtant… il se saoule comme ça à chaque fois.	Anche se… si ubriaca sempre così.	まあ…いつもあんなに飲んでるけどな。	하지만… 그는 매번 그렇게 취해.	不过……他每次都会喝成这德行。	不過……他每次都喝成這樣。
hub1_fisherman_quest_3_11	Рыбак Унаги?	Fischer Unagi?	Fisherman Unagi?	¿El pescador Unagi?	Le pêcheur Unagi ?	Il pescatore Unagi?	漁師のウナギか？	어부 우나기?	渔夫乌纳吉？	漁夫鰻？
hub1_fisherman_quest_3_12	Че надо?! Я отдыхаю.	Was willst du?! Ich entspanne mich.	What d'ya want?! I'm relaxin'.	¿Qué quieres? Estoy descansando.	Qu'est-ce que tu veux ?! Je me repose.	Che vuoi?! Mi sto riposando.	なんだよ？！休んでるんだ。	뭐야?! 나 쉬고 있다고.	干嘛？！我在休息。	幹嘛？！我在休息。
hub1_fisherman_quest_3_13	Ты меня достал.	Du gehst mir auf die Nerven.	You're pissin' me off.	Me tienes harto.	Tu me fatigues.	Mi hai stufato.	お前にはうんざりだ。	너 짜증나게 하네.	你烦死我了。	你煩死我了。
