pos	context	speaker	ru	en	fr	ru_checks	en_checks	fr_checks	en_lost_final_punct	fr_lost_final_punct	en_hidden_checks	fr_hidden_checks	duplicate_divergence
167	hub1_fisherman_quest_3_2	Leon	А ничего, что мы нелюди?\n	Ain't it a problem that we're non-human?\n	Ça ne vous dérange pas qu'on soit des Non-humains ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
168	hub1_fisherman_quest_3_3	Ichiro	Мне все равно шерстяной ты или кожаный. \n	I don't care if you're furry or smooth. \n	Que tu sois poilu ou à peau, je m'en fiche. \n								
169	hub1_fisherman_quest_3_4	Ichiro	Хорошая баня нужна всем.	A good bathhouse is for everyone.	Un bon bain, tout le monde en a besoin.								
170	hub1_fisherman_quest_3_5	Ichiro	Да и у нас тут не такое не смотрят. \n	And we don't judge that kinda thing here. \n	Et puis, on n'est pas si regardant ici. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
171	hub1_fisherman_quest_3_6	Unagi	Мокрая шерсть воняет.\n	Wet fur stinks.\n	La fourrure mouillée, ça pue.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
172	hub1_fisherman_quest_3_7	Ichiro	Вот кого я не люблю, так это алкоголиков. \n	The one thing I can't stand is drunks. \n	Ceux que je n'aime pas, ce sont les alcooliques. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
173	hub1_fisherman_quest_3_8	Ray	...	...	...	ellipsis							
174	hub1_fisherman_quest_3_9	Ichiro	Ну да, я дал ему саке. Но кто же знал, что он так нажрется.\n	Well, yeah, I gave him sake. But who knew he'd get so wasted.\n	Oui, je lui ai donné du saké. Mais qui aurait cru qu'il se saoulerait à ce point.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
175	hub1_fisherman_quest_3_10	Ichiro	Хотя…. он каждый раз так нажирается.\n\n	Though... he gets wasted like this every time.\n\n	Pourtant... il se saoule comme ça à chaque fois.\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
176	hub1_fisherman_quest_3_11	Leon	Рыбак Унаги?	Fisherman Unagi?	Le pêcheur Unagi ?								
177	hub1_fisherman_quest_3_12	Unagi	Че надо?! Я отдыхаю.\n	What d'ya want?! I'm relaxin'.\n	Qu'est-ce que tu veux ?! Je me repose.\n								
178	hub1_fisherman_quest_3_13	Ichiro	Ты меня достал. \n	You're pissin' me off. \n	Tu me fatigues. \n								
179	hub1_fisherman_quest_3_14	Ichiro	Ребят, выведите этого алкаша и сможете за мой счет потом попариться. 	Guys, get this drunk outta here and you can use the bathhouse on me later. 	Les gars, sortez cet ivrogne et vous pourrez vous détendre à mes frais après. 								
180	hub1_fisherman_quest_3_15	Leon	Слышь! 	Hey! 	Hé 					yes		end_exclamation	
181	hub1_fisherman_quest_3_16	Leon	Нам нужен нефритовый угорь для раменщика. Ты его поймал.\n	We need that jade eel for the ramen guy. You caught it.\n	Il nous faut l'anguille de jade pour le ramen-ya. Tu l'as pêchée.\n								
182	hub1_fisherman_quest_3_17	Unagi	Может и поймал! А может и не поймал….\n\n	Maybe I did! Or maybe I didn't….\n\n	Peut-être que oui ! Ou peut-être pas…\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count				end_ellipsis,end_stop	
183	hub1_fisherman_quest_3_18	Unagi	Тащи опохмел. Без этого я с места не сдвинусь.	Get me a hangover cure. I ain't movin' without it.	Apporte-moi un remède contre la gueule de bois. Sans ça, je ne bougerai pas d'ici.								
184	hub1_fisherman_quest_3_19	Leon	Я тебя сейчас сам двину! 	I'll move you myself right now! 	Je vais te bouger moi-même 					yes		end_exclamation	
185	hub1_fisherman_quest_3_20	Ray	Леон, успокойся. Я могу легко сделать то, что приведет его в чувство. 	Leon, calm down. I can easily do something to bring him around. 	Leon, calme-toi. Je peux facilement faire quelque chose pour le remettre d'aplomb 					yes		end_stop	
186	hub1_fisherman_quest_3_21	Ray	Нужно лишь немного трав.\n	Just need a few herbs.\n	Il suffit de quelques herbes.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
187	hub1_fisherman_quest_3_22	Ray	Здесь должна быть лавка травника.	There should be a herbalist's shop here.	Il devrait y avoir une herboristerie ici.								
188	hub1_fisherman_quest_3_23	Leon	Ну пойдем поищем.	Well, let's go look for it.	Eh bien, allons chercher.								
189	hub1_asuna_archive_1_1	Asuna	О, приятно увидеть новый лица в Трущобах. \n	Oh, it's nice to see new faces in the Slums. \n	Oh, c'est agréable de voir de nouveaux visages dans les Bas-Fonds. \n								
190	hub1_asuna_archive_1_2	Asuna	Особенно такие необычные, как у вас.	Especially such unusual ones as yours.	Surtout des visages aussi inhabituels que les vôtres.								
191	hub1_asuna_archive_1_3	Ray	Да, мы только приехали! 	Yeah, we just got here! 	Oui, nous venons d’arriver 					yes		end_exclamation	
192	hub1_asuna_archive_1_4	Ray	Я еще не видел такой большой лавки с травами! 	I ain't never seen such a big herb shop! 	Je n’ai jamais vu une herboristerie aussi grande 					yes		end_exclamation	
193	hub1_asuna_archive_1_5	Ray	 У вас тут столько всего! Даже желтый многолетник есть! \n	 You got so much stuff in here! Even yellow perennial! \n	 Vous avez tellement de choses ici ! Il y a même une plante vivace jaune ! \n								
194	hub1_asuna_archive_1_6	Ray	Я его давно не видел.	Ain't seen that in a long time.	Je ne l’avais pas vue depuis longtemps.								
195	hub1_asuna_archive_1_7	Leon	Может хватит трепаться? Мы вроде по делу пришли. \n	Can we cut the chatter? We're here on business, ain't we? \n	Ça suffit de jacasser ? On est venus pour une raison, non ? \n	multiple_failures	end_newline,newline-count	end_newline,newline-count			end_question,end_stop	end_question,end_stop	
196	hub1_asuna_archive_1_8	Leon	Или мне вас оставить вдвоем?	Or should I just leave you two alone?	Ou je vous laisse tous les deux ?								
197	hub1_asuna_archive_1_9	Asuna	Можешь и оставить. Я не против. 	You can leave us. I don't mind. 	Tu peux nous laisser. Ça ne me dérange pas 					yes		end_stop	
198	hub1_asuna_archive_1_10	Asuna	Думаю, двоим нагам всегда есть о чем поговорить…\n\n	I think two Nagas always have plenty to talk about…\n\n	Je pense que deux Nagas ont toujours des choses à se dire…\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
199	hub1_asuna_archive_1_11	Asuna	А у тебя горячее сердце. Я чувствую даже отсюда. 	And you have a warm heart. I can feel it even from here. 	Et tu as un cœur ardent. Je le sens même d’ici 					yes		end_stop	
200	hub1_asuna_archive_1_12	Asuna	Наверное, как и у всех дзинко	Probably like all Jinko	Probablement comme tous les Jinkos								
201	hub1_asuna_archive_1_13	Leon	И много ты видела дзинко?	How many Jinko you seen?	Et tu as vu beaucoup de Jinko ?								
202	hub1_asuna_archive_1_14	Asuna	Ты первый. Они же главные враги империи, так что их всех переловили.	You're the first. They're the Empire's main enemies, so they rounded 'em all up.	Tu es le premier. Ce sont les principaux ennemis de l'Empire, alors ils ont tous été capturés.								
203	hub1_asuna_archive_1_15	Asuna	Я удивлена, что ты разгуливаешь без ошейника. Т	I'm surprised you're walkin' around without a collar. T	Je suis surprise que tu te promènes sans collier. T								
204	hub1_asuna_archive_1_16	Asuna	Тут за каждым дзинко учет и слежка, не дай боги хоть один сбежит.\n	Every Jinko's accounted for and watched. God forbid one gets away.\n	Chaque Jinko est enregistré et surveillé ici, pour que pas un seul ne s'échappe, par les dieux.\n								
205	hub1_asuna_archive_1_17	Leon	И где этот “учет” можно посмотреть.	"And where can I check this ""account""?"	Et où peut-on consulter cet « enregistrement » ?	multiple_failures	end_question,end_stop	end_question,end_stop					
206	hub1_asuna_archive_1_18	Asuna	Я точно не знаю, но…я бы искала в Императорских архивах. 	I don't know for sure, but... I'd look in the Imperial Archives. 	Je ne sais pas exactement, mais… je chercherais dans les Archives Impériales. 								
207	hub1_asuna_archive_1_19	Asuna	Там же буквально ВСЯ информация в Империи хранится.\n	Literally ALL the Empire's information is stored there.\n	Toutes les informations de l'Empire y sont littéralement stockées.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
208	hub1_asuna_archive_1_20	Leon	Наконец-то хоть что- то полезное!	Finally, somethin' useful!	Enfin, quelque chose d'utile !								
209	hub1_asuna_archive_1_21	Ray	Вообще мы хотели купить  сушёный корень имбиря и чёрный лотос. \n	Actually, we wanted to buy dried ginger root and black lotus. \n	En fait, nous voulions acheter de la racine de gingembre séchée et du lotus noir. \n								
210	hub1_asuna_archive_1_22	Ray	У тебя найдется?	Do you have any?	Tu en as ?								fr
211	hub1_asuna_archive_1_23	Ray	У тебя найдется?	Do you have any?	Tu en as un ?								fr
212	hub1_asuna_archive_1_24	Asuna	Для тебя все найдется. \n	I have everything for you. \n	J'en ai toujours un pour toi. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
213	hub1_asuna_archive_1_25	Leon	Теперь понятно где искать информацию об Аки.	Now I know where to look for information about Aki.	Maintenant, je sais où chercher des informations sur Aki.								
214	hub1_fisherman_quest_4_1	Unagi	Ух, сразу жить захотелось. Спасибо вам, ребятки.\n	Ugh, suddenly I wanna live. Thanks, fellas.\n	Ouf, ça me donne envie de vivre. Merci, les gars.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
215	hub1_fisherman_quest_4_2	Leon	Угорь где?\n\n	Where's the eel?\n\n	Où est l'anguille ?\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
216	hub1_fisherman_quest_4_3	Unagi	Да я его продал в гейшам в чайном домике. \n\n	I sold it to the geishas at the tea house. \n\n	Je l'ai vendue aux geishas de la Maison de Thé. \n\n								
217	hub1_fisherman_quest_4_4	Unagi	Они мои любимые покупательницы.	They're my favorite customers.	Ce sont mes clientes préférées.								
218	hub1_fisherman_quest_4_5	Leon	БЛЯЯЯЯЯ...	FUUUUUUCK...	PUUUUTAIN...	ellipsis							
219	hub1_fisherman_quest_4_6	Leon	Ладно. Чайный домик. \n\n	Alright. Tea house. \n\n	Bon. La Maison de Thé. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
220	hub1_teahouse_2_1	Yaeko	Цуру, ты доставишь послание. \n\n	Tsuru, you'll deliver the message. \n\n	Tsuru, tu livreras le message. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
221	hub1_teahouse_2_2	Tsuru	Вынуждена отказать, госпожа Яэко. Я не хочу, чтобы меня видели в этом районе. 	I must refuse, Lady Yaeko. I don't want to be seen in this district. 	Je suis forcée de refuser, Madame Yaeko. Je ne veux pas être vue dans ce quartier 					yes		end_stop	
222	hub1_teahouse_2_3	Tsuru	 Купец Сэго подумает, что я обслуживаю его конкурентов. А он мой лучший клиент. \n\n	 Merchant Sego will think I'm serving his competitors. And he's my best client. \n\n	 Le marchand Sego pensera que je sers ses concurrents. Et c’est mon meilleur client. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
223	hub1_teahouse_2_4	Момо	Я могу сходить, госпожа Яэко. 	I can go, Lady Yaeko. 	Je peux y aller, Madame Yaeko 					yes		end_stop	
224	hub1_teahouse_2_5	Yaeko	Момо, ты нюня и плакса. Ты все испоганишь. Поэтому пойти должна Цуру.\n\n	Momo, you're a whiner and a crybaby. You'll screw everything up. So Tsuru has to go.\n\n	Momo, tu es une pleurnicheuse et une mauviette. Tu vas tout gâcher. C’est pourquoi Tsuru doit y aller.\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
225	hub1_teahouse_2_6	Tsuru	Вы оглохли, госпожа Яэко? Я СКАЗАЛА, Я НИКУДА НЕ ПОЙДУ! \n	Are you deaf, Lady Yaeko? I SAID, I'M NOT GOING ANYWHERE! \n	Vous êtes sourde, Madame Yaeko ? J’AI DIT QUE JE N’IRAIS NULLE PART ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
226	hub1_teahouse_2_7	Yaeko	Как будто у тебя есть выбор! Запомни, соплячка, ты моя собственность! \n	As if you have a choice! Remember, you little brat, you're my property! \n	Comme si tu avais le choix ! Retiens bien, morveuse, tu es ma propriété ! \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
227	hub1_teahouse_2_8	Tsuru	Пока я приношу больше всего мон чайному дому НАЗВАНИЕ, то могу делать что захочу.\n\n	As long as I bring in the most mon for the tea house NAME, I can do whatever I want.\n\n	Tant que j’apporte le plus de mon au salon de thé NOM, je peux faire ce que je veux.\n\n								
228	hub1_teahouse_2_9	Yaeko	Ах, ты мелкая дрянь…	Oh, you little bitch…	Ah, sale petite garce…								
229	hub1_teahouse_2_10		Извините, дамы, можно помешать вашей беседе…\n	Excuse me, ladies, may I interrupt your conversation…\n	Excusez-moi, mesdames, puis-je interrompre votre conversation…\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
230	hub1_teahouse_2_11	Yaeko	А вам что надо, оборванцы? 	What do you want, you beggars? 	Et vous, que voulez-vous, vauriens ? 								
231	hub1_teahouse_2_12	Yaeko	По вам сразу видно, что у вас нет денег, чтобы даже рядом с чайным домиком постоять. \n	It's obvious you don't have enough money to even stand near a tea house. \n	On voit tout de suite que vous n'avez pas d'argent, même pour vous tenir près de la maison de thé. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
232	hub1_teahouse_2_13	Leon	Как хорошо, что мои кулаки бесплатные.	Good thing my fists are free.	Tant mieux, mes poings sont gratuits.								
233	hub1_teahouse_2_14	Ray	Извините, нам просто нужно забрать угря, которого вам продали утром.	Excuse me, we just need to pick up the eel you sold this morning.	Excusez-nous, nous devons juste récupérer l'anguille qu'on vous a vendue ce matin.								
234	hub1_teahouse_2_15	Tsuru	АХХАХАХА, мальчики,  у вас проблемы с вашими нефритовыми жезлами?\n	AHAHAHAHA, boys, are you having trouble with your jade rods?\n	AHHAHAHA, les garçons, vous avez des problèmes avec vos baguettes de jade ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
235	hub1_teahouse_2_16	Leon	Че?	Huh?	Quoi ?								
236	hub1_teahouse_2_17	Момо	Просто порошок из этой рыбы помогает мужчинам, чтобы их…жезл…ну, дольше…	It's just that powder from this fish helps men so their... rod... well, longer…	La poudre de ce poisson aide les hommes à ce que leur… baguette… enfin, plus longtemps…								
237	hub1_teahouse_2_18	Tsuru	По ним видно, что они нуждаются в этом.  \n	They clearly need it.  \n	On voit bien qu'ils en ont besoin.  \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
238	hub1_teahouse_2_19	Leon	ВСЕ! Хорошо, что мне все равно кому бить морду.\n	THAT'S IT! Good thing I don't care whose face I punch.\n	ÇA SUFFIT ! Tant mieux, ça m'est égal à qui je casse la gueule.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
239	hub1_teahouse_2_20	Yaeko	Потише, потише, мальчик. Угря уже приготовили на кухне и подали клиентам. 	Easy, easy, boy. The eel has already been prepared in the kitchen and served to customers 	Doucement, doucement, mon garçon. L'anguille a déjà été préparée en cuisine et servie aux clients 				yes	yes	end_stop	end_stop	
240	hub1_teahouse_2_21	Yaeko	Ты опоздал, к сожалению. \n	You're too late, unfortunately. \n	Tu es en retard, malheureusement. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
241	hub1_teahouse_2_22	Yaeko	Да и не советую тебе размахивать кулаками. У меня связи по всему городу. 	And I wouldn't advise you to throw punches. I got connections all over the city. 	Je ne te conseille pas de te battre. J'ai des relations dans toute la ville 					yes		end_stop	
242	hub1_teahouse_2_23	Yaeko	Стоит мне щелкнуть пальцами, и они узнают о том, что в Трущобах скрывается дзинко.\n	All I gotta do is snap my fingers, and they'll know there's a Jinko hidin' in the Slums.\n	Il me suffit de claquer des doigts pour qu'ils apprennent qu'un Jinko se cache dans les Bas-fonds.\n								
243	hub1_teahouse_2_24	Leon	А че, твои гейши много где бывают? 	So, your geishas get around a lot? 	Et tes geishas, elles vont souvent partout ? 								
244	hub1_teahouse_2_25	Yaeko	Да, обслуживают клиентов по всему городу. \n	Yes, they serve clients all over the city. \n	Oui, elles servent des clients dans toute la ville. \n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
245	hub1_teahouse_2_26	Leon	А в Архивах?	What about the Archives?	Et aux Archives ?								
246	hub1_teahouse_2_27	Yaeko	Ближе к делу, молодой человек.	Let's get to the point, young man.	Allons droit au but, jeune homme.								
247	hub1_teahouse_2_28	Leon	Мне нужно как то скрытно попасть в Императорские архивы. 	I need to get into the Imperial Archives stealthily. 	Je dois me rendre discrètement aux Archives Impériales 					yes		end_stop	
248	hub1_teahouse_2_29	Leon	Как я понимаю твои гейши знают как? \n\n	And I take it your geishas know how? \n\n	Si je comprends bien, tes geishas savent comment faire ? \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
249	hub1_teahouse_2_30	Yaeko	Какое совпадение. У меня предложение, которое будет выгодно нам обоим, молодой человек. \n\n	What a coincidence. I have a proposition that will benefit us both, young man. \n\n	Quel hasard. J'ai une proposition qui nous sera profitable à tous les deux, jeune homme. \n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
250	hub1_teahouse_2_31	Yaeko	Доставь это послание нашему человеку в Нижнем Городе и он даст тебе ключ от туннелей под городом. 	Deliver this message to our contact in the Lower City, and he'll give you the key to the tunnels beneath the city. 	Remets ce message à notre contact dans la Ville Basse et il te donnera la clé des tunnels sous la ville 					yes		end_stop	
251	hub1_teahouse_2_32	Yaeko	Там можно попасть в Архив. 	You can get to the Archives from there. 	On peut y accéder aux Archives 					yes		end_stop	en,fr
252	hub1_teahouse_2_33	Yaeko	Сделка?	Deal?	Marché conclu ?								
253	hub1_teahouse_2_34	Leon	Уговор. 	Deal. 	Marché conclu 					yes		end_stop	fr
254	hub1_teahouse_2_35	Ray	Леон, ты с ума сошел? Как ты проберешься через Нижний город.\n	Leon, have you lost your mind? How're you gonna get through the Lower City.\n	Leon, tu es fou ? Comment vas-tu traverser la Ville Basse.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
255	hub1_teahouse_2_36	Leon	По крышам.\n	Over the rooftops.\n	Par les toits.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
256	hub1_teahouse_2_37	Yaeko	Мне нравится твой настрой. 	I like your attitude. 	J'aime ton attitude 					yes		end_stop	
257	hub1_teahouse_2_38	Yaeko	Я думаю у барахольщика Хадзуо ты найдешь что-нибудь, что поможет тебе в этом пути. \n	I think you'll find something at Hazuo the junk dealer's that'll help you on your way. \n	Je pense que tu trouveras quelque chose chez le brocanteur Hazuo qui t'aidera sur ce chemin. \n								
258	hub1_teahouse_2_39	Leon	Что именно?\n\n	What exactly?\n\n	Quoi exactement ?\n\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					fr
259	hub1_teahouse_2_40	Yaeko	Он же барахольщик. Какое-нибудь барахло.	He's a junk dealer. Some junk.	C'est un brocanteur. N'importe quelle babiole.								en
260	hub1_teahouse_2_41	Leon	Ладно, я загляну к нему. 	Alright, I'll check him out. 	D'accord, je passerai le voir 					yes		end_stop	fr
261	hub1_scrappy_2_1	Hazuo	 А, мои племяннички вернулись! 	 Ah, my nephews are back! 	 Ah, mes neveux sont de retour ! 								fr
262	hub1_scrappy_2_2	Hazuo	В поисках знаний, или вас привела нужда?	Seekin' knowledge, or has need brought ya here?	En quête de savoir, ou le besoin vous a-t-il amenés ?								en,fr
263	hub1_scrappy_2_3	Ray	Нужно что-то, чтобы по крышам пройти.	We need somethin' to get across the rooftops.	Il nous faut quelque chose pour passer par les toits.								
264	hub1_scrappy_2_4	Hazuo	По крышам, говорите… 	Rooftops, you say… 	Par les toits, dites-vous… 								en
265	hub1_scrappy_2_5	Hazuo	Ах! Это напоминает мне о мостах из бамбука времён императора Акито! 	Ah! That reminds me of the bamboo bridges from Emperor Akito's time! 	Ah ! Cela me rappelle les ponts de bambou du temps de l’empereur Akito 					yes		end_exclamation	fr
266	hub1_scrappy_2_6	Hazuo	Знаете ли вы, что его войска…	Did you know his troops…	Savez-vous que ses troupes…								
267	hub1_scrappy_2_7	Leon	Ты уверен, что у тебя в лавке вообще есть хоть что-то полезное?\n	You sure you got anything useful in your shop?\n	Tu es sûr que tu as quoi que ce soit d’utile dans ta boutique ?\n								fr
268	hub1_scrappy_2_8	Hazuo	Вот, к примеру, веер придворной дамы.	Here, for example, a court lady's fan.	Tenez, par exemple, un éventail de dame de cour.								en,fr
269	hub1_scrappy_2_9	Hazuo	Когда она убегала к любовнику, этот звук маскировал её шаги…\n	When she ran off to her lover, this sound masked her footsteps…\n	Quand elle s’enfuyait chez son amant, ce son masquait ses pas…\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					en,fr
270	hub1_scrappy_2_10	Leon	Может, у тебя есть ещё бамбуковая зубочистка? Тоже пригодится, ага.\n	Maybe you got a bamboo toothpick too? That'd be useful, yeah.\n	Peut-être as-tu aussi un cure-dent en bambou ? Ça serait utile aussi, hein.\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
271	hub1_scrappy_2_11	Ray	Хадзуо, может быть, что-то попрактичнее?\n	Hazuo, maybe somethin' more practical?\n	Hazuo, peut-être quelque chose de plus pratique ?\n								
272	hub1_scrappy_2_12	Hazuo	 А это — маска актёра. 	 And this is an actor's mask. 	 Et ça, c’est un masque d’acteur. 								fr
273	hub1_scrappy_2_13	Hazuo	Один вор использовал её, чтобы стоять неподвижно на площади и притворяться статуей…	A thief once used it to stand still in the square and pretend to be a statue…	Un voleur l’a utilisé pour rester immobile sur la place et faire semblant d’être une statue…								en,fr
274	hub1_scrappy_2_14	Leon	ВСЁ, ХВАТИТ! Мне не нужна коллекция пиздежа!	ALRIGHT, ENOUGH! I don't need a collection of bullshit!	ÇA SUFFIT ! Je n’ai pas besoin d’une collection de conneries !								en,fr
275	hub1_scrappy_2_15	Hazuo	О! Инструмент кровельщиков. С его помощью поднимали черепицу! \n	Oh! A roofer's tool. They used it to lift tiles! \n	Oh ! Un outil de couvreur. Il servait à soulever les tuiles ! \n								
276	hub1_scrappy_2_16	Hazuo	Для тебя то, что нужно.	Just what you need.	C’est exactement ce qu’il te faut.								
277	hub1_scrappy_2_17	Leon	Наконец-то. Хоть раз твой мусор оказался в тему.\n	Finally. For once your junk's actually useful.\n	Enfin. Pour une fois, tes vieilleries sont utiles.\n								en,fr
278	hub1_scrappy_2_18	Ray	Спасибо, Хадзуо.\n	Thank you, Hazuo.\n	Merci, Hazuo.\n								
279	hub1_scrappy_2_19	Hazuo	 История всегда знает, когда подоспеть.	 History always knows when to arrive.	 L’histoire sait toujours quand arriver.								fr
280	hub1_fisherman_1_1	Unagi	Давайте-ка потише. Вы мне всю рыбу распугаете.	Let's keep it down. You're gonna scare all my fish away.	Un peu de silence, s’il vous plaît. Vous allez faire fuir tous mes poissons.								
281	hub1_fisherman_1_2	Leon	Мужик, мы ни слова не сказали.\n	Man, we ain't said a word.\n	Mec, on n'a pas dit un mot.\n								
282	hub1_fisherman_1_3	Unagi	ТШШШШ! Садитесь и учитесь как надо ловить.	SHHHH! Sit down and learn how to fish.	CHUT ! Asseyez-vous et apprenez à pêcher.								
283	hub1_fisherman_1_4	Ray	Вы тут каждый день рыбачите?	Do you fish here every day?	Vous pêchez ici tous les jours ?								
284	hub1_fisherman_1_5	Unagi	Когда рыбачу. Когда сплю. Когда похмелье пережидаю.	When I fish. When I sleep. When I'm waitin' out a hangover.	Quand je pêche. Quand je dors. Quand j'attends que ma gueule de bois passe.								
285	hub1_fisherman_1_6	Unagi	Море любит постоянство.	The sea loves consistency.	La mer aime la constance.								
286	hub1_fisherman_1_7	Leon	Понял. Алкаш с жизненной мудростью.	Got it. A drunk with life wisdom.	Compris. Un poivrot avec la sagesse de la vie.								
287	hub1_fisherman_1_8	Unagi	Я и пьяница и лучший рыбак во всей империи!	I'm a drunk and the best fisherman in the whole damn Empire!	Je suis un ivrogne et le meilleur pêcheur de tout l'Empire !								
288	hub1_fisherman_1_9	Unagi	И тебя могу научить!	And I can teach you too!	Et je peux t'apprendre !								
289	hub1_fisherman_1_10	Leon	Пить?	To drink?	À boire ?								
290	hub1_fisherman_1_11	Unagi	Ловить рыбу! Приходите в любое время.	To fish! Come any time.	À pêcher ! Venez quand vous voulez.								
291	hub1_fisherman_1_12	Ray	Спасибо за приглашение! 	Thanks for the invitation! 	Merci de l'invitation 					yes		end_exclamation	
292	hub1_asuna_1_1	Asuna	Ого,  Дзинко и Наг?  	Oh, a Jinko and a Naga?  	Oh, un Jinko et un Naga ?  								
293	hub1_asuna_1_2	Asuna	Давно не встречала своих, да еще таких симпатичных….	Haven't seen my own kind in a long time, and such handsome ones at that….	Ça fait longtemps que je n'ai pas rencontré les miens, et si charmants en plus…			end_ellipsis,end_stop					
294	hub1_asuna_1_3	Ray	Кхмх! У вас столько редких трав… Потрясающе. 	Ahem! You have so many rare herbs… Amazing. 	Hum ! Vous avez tant d'herbes rares… C'est incroyable 					yes		end_stop	
295	hub1_asuna_1_4	Asuna	А еще настоек,мазей, ядов…  Смотря что именно вам нужно.\n	And tinctures, ointments, poisons… Depends on what you need.\n	Et aussi des teintures, des onguents, des poisons… Ça dépend de ce dont vous avez besoin.\n								
296	hub1_asuna_1_5	Asuna	Хотя тебе я бы просто посоветовала побольше отдыхать.	Though I'd just advise you to get more rest.	Mais toi, je te conseillerais juste de te reposer davantage.								
297	hub1_asuna_1_6	Asuna	У тебя сердце слишком быстро бьётся.	Your heart's beatin' too fast.	Ton cœur bat trop vite.								
298	hub1_asuna_1_7	Ray	Ч-что?..	W-what?..	Q-quoi ?..								
299	hub1_asuna_1_8	Leon	Меня сейчас стошнит.	I'm gonna puke.	Je vais vomir.								
300	hub1_asuna_1_9	Asuna	А ты чего такой колючий?	Why're you so prickly?	Et toi, pourquoi es-tu si piquant ?								
301	hub1_asuna_1_10	Asuna	Боишься, что я уведу твоего друга?\n	You scared I'm gonna steal your friend?\n	Tu as peur que je te pique ton ami ?\n	multiple_failures	end_newline,newline-count	end_newline,newline-count					
302	hub1_asuna_1_11	Leon	Чего?! За языком следи.	What?! Watch your mouth.	Quoi ?! Surveille ton langage.								
303	hub1_asuna_1_12	Asuna	Милый ребёнок.	Sweet child.	Cher enfant.								
304	hub1_asuna_1_13	Asuna	Ладно, если понадобятся редкие травы или зелья — вы знаете, где меня искать.	Alright, if you need rare herbs or potions—you know where to find me.	Bien. Si vous avez besoin d'herbes rares ou de potions, vous savez où me trouver.								
305	hub1_bathman_1_1	Ichiro	ЭЙ ВЫ! Шерстяной! Чешуйчатый! Да-да, я вам!	HEY YOU! Furry! Scaly! Yeah, you two!	HÉ VOUS ! Le poilu ! L'écailleux ! Oui, oui, c'est à vous que je parle !								
306	hub1_bathman_1_2	Leon	 …Чего ему надо?	 …What's he want?	 … Qu'est-ce qu'il veut ?								
307	hub1_bathman_1_3	Ichiro	По лицам вижу — мышцы забиты! 	I can see it in your faces—muscles are tight 	À vos visages, je vois que vos muscles sont noués 				yes	yes	end_exclamation	end_exclamation	
308	hub1_bathman_1_4	Ichiro	Спины деревянные! Душа уставшая!	Stiff backs! Weary souls!	Le dos raide ! L'âme fatiguée !								
309	hub1_bathman_1_5	Ichiro	Вам срочно нужна баня!	You desperately need a bathhouse!	Vous avez un besoin urgent de bains !								
310	hub1_bathman_1_6	Ray	Вообще-то… звучит не так уж плохо.	Actually… that doesn't sound too bad.	En fait… ça ne sonne pas si mal.								
311	hub1_bathman_1_7	Leon	Даже не начинай.	Don't even start.	Ne commence même pas.								
312	hub1_bathman_1_8	Ichiro	Пять минут в пару — как заново родишься!	Five minutes in the steam—you'll be born again!	Cinq minutes dans la vapeur, et tu te sentiras renaître !								
313	hub1_bathman_1_9	Leon	Чтобы снова  проживать всю эту херь? Ну уж нет!	To go through all that shit again? No way!	Pour revivre toute cette merde ? Ah non, pas question !								
314	hub1_bathman_1_10	Ichiro	Это потому что ты ещё нормально не пропотел!	That's 'cause you ain't sweated it out proper yet!	C'est parce que tu n'as pas encore bien transpiré !								
